time,meas
0,-0.20920240589575795
1,-0.14293318750412076
2,-0.174387360423156
3,-0.22678898479092094
4,-0.2350268983812402
5,-0.20471038441791192
6,-0.16906825682956747
7,-0.1514922793378729
8,-0.1825609544351896
9,-0.1600931948084868
10,-0.12372970516481047
11,-0.10556411394850479
12,-0.1729562540574523
13,-0.1815690235796294
14,-0.24132838419635427
15,-0.13820802147275185
16,-0.1128822981818465
17,-0.057641143102308626
18,0.00925414648019529
19,0.011708640152571045
20,0.0373907909811757
21,0.07077989583775862
22,0.15745387212802509
23,0.1963946703810941
24,0.17881589863585307
25,0.19858168743103072
26,0.13461760574992904
27,0.1035409596725265
28,0.13461574318885772
29,0.19515920395420225
30,0.16807332701908648
31,0.18962844293463665
32,0.28992362141107436
33,0.3294588545504719
34,0.3561584230087776
35,0.4259199249809136
36,0.41716355304618097
37,0.3780852450676833
38,0.3965952331426245
39,0.31168029488379845
40,0.2525705080445338
41,0.22966611727072145
42,0.2322908258421934
43,0.3039189963273814
44,0.2961198807958533
45,0.23204541193154196
46,0.1945422225653327
47,0.2121728775967116
48,0.1494940576513642
49,0.15995619069612976
50,0.10290786872051748
51,0.07691401532083886
52,0.09774694282440194
53,0.015410079478521967
54,-0.0454203452357072
55,-0.08911668112372398
56,-0.03606243831472475
57,-0.016245249988931107
58,0.08657966901589494
59,0.1262194949804869
60,0.16383313671683356
61,0.29670752746179585
62,0.29853241588333435
63,0.284696480258973
64,0.3624410586906524
65,0.41354990492401134
66,0.5500716986100617
67,0.5785191485613962
68,0.5350523865632317
69,0.5153016688346104
70,0.5076278724259573
71,0.4500352456711726
72,0.433680027001447
73,0.40209038448841994
74,0.38420071635569125
75,0.4097021973533031
76,0.36586415361829117
77,0.3748505469294281
78,0.3758701699815336
79,0.374710735098784
80,0.34144071518123237
81,0.3582531862701451
82,0.4005940590337163
83,0.37242860974476094
84,0.3162296644802863
85,0.37110176239390746
86,0.3543306730777176
87,0.35564429218728894
88,0.37174749154347847
89,0.4136628395173911
90,0.42091518632082275
91,0.3932477203618903
92,0.45422288258204296
93,0.45554602310370035
94,0.32300077553222845
95,0.25015846184860946
96,0.2610123123715334
97,0.27550286051689704
98,0.3247424415216245
99,0.38092053877078125
100,0.3448553918227846
101,0.37998660002899437
102,0.3333295236380382
103,0.2875565372060618
104,0.31616964293685207
105,0.26991613404106124
106,0.2984664187002096
107,0.33703030009444346
108,0.3998787412941812
109,0.4143300979141622
110,0.44919706096892453
111,0.47050045530020707
112,0.4602602711481415
113,0.43531310207100093
114,0.451665729963465
115,0.48473517770500213
116,0.4839191810402273
117,0.5348159067774184
118,0.49228045694794026
119,0.45423450391682235
120,0.5109882559955424
121,0.5675966800133859
122,0.5916726807672043
123,0.6387891026852462
124,0.5850364159969118
125,0.4690353738220705
126,0.5484582833386045
127,0.6351147140290174
128,0.6270225858006522
129,0.6706129888741982
130,0.6573758957089254
131,0.6114243167395983
132,0.6410080318769918
133,0.6480282207736183
134,0.68364165491793
135,0.7600659014025172
136,0.8505496495759604
137,0.855798881798657
138,0.8451668638420828
139,0.8268785425440323
140,0.8579564578271406
141,0.8572514594883124
142,0.8044935580568591
143,0.7237758052555626
144,0.6235650964066365
145,0.5800136910348079
146,0.5236108559485988
147,0.47520210480246877
148,0.4988337813311801
149,0.4557223202555952
150,0.4219094700922676
151,0.4218224810739569
152,0.42309745648019076
153,0.5126166495268096
154,0.5281441709153875
155,0.4651626167890286
156,0.45791004189305107
157,0.452800695110988
158,0.3733234299085081
159,0.45824389325598197
160,0.4695580389333461
161,0.5522054147587867
162,0.5661798367231038
163,0.5144846887332691
164,0.5031331234359753
165,0.4950647439485046
166,0.5497763527963674
167,0.5631432863455905
168,0.4468991848208977
169,0.39119350269274983
170,0.45241506406550186
171,0.4345678340687879
172,0.4788894526418948
173,0.6034058631145384
174,0.6221961207463029
175,0.5939484800255643
176,0.7107010011301966
177,0.7101890399171659
178,0.686831322116022
